file_path,file_name,domain_cn,domain_en,updated_at
E:\domain\papers\（16）Dimethyl-malonate-preserves-brain-and-neurobehavioral-phenotype-f_2025_Redox.pdf,（16）Dimethyl-malonate-preserves-brain-and-neurobehavioral-phenotype-f_2025_Redox.pdf,生命科学,Life Science,2026-02-11 11:45:53
E:\domain\papers\（17）Discovery-of-ARS-1620-analogs-as-KRas-G12C-inhibitors-with_2022_Bioorganic-C.pdf,（17）Discovery-of-ARS-1620-analogs-as-KRas-G12C-inhibitors-with_2022_Bioorganic-C.pdf,生命科学,Life Science,2026-02-11 11:46:12
E:\domain\papers\（18）Evaluation of the activity levels of rat FVIII and human FVIII delivered by.pdf,（18）Evaluation of the activity levels of rat FVIII and human FVIII delivered by.pdf,生命科学,Life Science,2026-02-11 11:46:33
E:\domain\papers\（19）Glioblastoma extracellular vesicles induce the tumour-promoting transformation of neural stem cells.pdf,（19）Glioblastoma extracellular vesicles induce the tumour-promoting transformation of neural stem cells.pdf,生命科学,Life Science,2026-02-11 11:46:50
E:\domain\papers\（1）Administration-of-lipid-nanoparticle-encapsulated-m_2025_International-Journ.pdf,（1）Administration-of-lipid-nanoparticle-encapsulated-m_2025_International-Journ.pdf,生命科学,Life Science,2026-02-11 11:47:07
E:\domain\papers\（20）HS6ST1-overexpressed-in-cancer-associated-fibroblast-an_2023_Digestive-and-L.pdf,（20）HS6ST1-overexpressed-in-cancer-associated-fibroblast-an_2023_Digestive-and-L.pdf,生命科学,Life Science,2026-02-11 11:47:30
E:\domain\papers\（21）Human-embryonic-stem-cell-derived-melanocy_2021_Biochemical-and-Biophysical-.pdf,（21）Human-embryonic-stem-cell-derived-melanocy_2021_Biochemical-and-Biophysical-.pdf,生命科学,Life Science,2026-02-11 11:47:48
E:\domain\papers\（22）Human-urine-derived-stem-cell-exosomes-delivered-via-injectab_2023_Materials.pdf,（22）Human-urine-derived-stem-cell-exosomes-delivered-via-injectab_2023_Materials.pdf,生命科学,Life Science,2026-02-11 11:48:08
E:\domain\papers\（23）Hyaluronanized-gold-nanoparticles-functionalized-with-CTX-_2025_Chemical-Eng.pdf,（23）Hyaluronanized-gold-nanoparticles-functionalized-with-CTX-_2025_Chemical-Eng.pdf,生命科学,Life Science,2026-02-11 11:48:35
E:\domain\papers\（24）Identification and characterization of a cross-neutralization epitope of Enterovirus 71.pdf,（24）Identification and characterization of a cross-neutralization epitope of Enterovirus 71.pdf,生命科学,Life Science,2026-02-11 11:48:56
E:\domain\papers\（25）Insight-into-the-anti-allergic-impacts-of-fucoidan-from-_2025_International-.pdf,（25）Insight-into-the-anti-allergic-impacts-of-fucoidan-from-_2025_International-.pdf,生命科学,Life Science,2026-02-11 11:49:32
E:\domain\papers\（26）Iodine-131-radioembolization-boosts-the-immune-activation_2025_Journal-of-Co.pdf,（26）Iodine-131-radioembolization-boosts-the-immune-activation_2025_Journal-of-Co.pdf,生命科学,Life Science,2026-02-11 11:49:53
E:\domain\papers\（27）Knockdown-of-TRIM32-inhibits-tumor-growth-and-increas_2021_Biochemical-and-B.pdf,（27）Knockdown-of-TRIM32-inhibits-tumor-growth-and-increas_2021_Biochemical-and-B.pdf,生命科学,Life Science,2026-02-11 11:50:09
E:\domain\papers\（28）Kynurenine-acts-as-a-signaling-molecule-to-attenuate-pu_2025_Journal-of-Adva.pdf,（28）Kynurenine-acts-as-a-signaling-molecule-to-attenuate-pu_2025_Journal-of-Adva.pdf,生命科学,Life Science,2026-02-11 11:50:32
E:\domain\papers\（29）Lentiviral-vector-mediated-shRNAs-targeting-a-functional-iso_2017_Osteoarthr.pdf,（29）Lentiviral-vector-mediated-shRNAs-targeting-a-functional-iso_2017_Osteoarthr.pdf,生命科学,Life Science,2026-02-11 11:50:55
E:\domain\papers\（2）Advanced-understanding-of-the-neurotoxicity-of-brominated_2025_Journal-of-Ha.pdf,（2）Advanced-understanding-of-the-neurotoxicity-of-brominated_2025_Journal-of-Ha.pdf,生命科学,Life Science,2026-02-11 11:51:24
E:\domain\papers\（30）LncRNA-mRNA-co-expression-analysis-reveals-aquaporin-9-pro_2024_Internationa.pdf,（30）LncRNA-mRNA-co-expression-analysis-reveals-aquaporin-9-pro_2024_Internationa.pdf,生命科学,Life Science,2026-02-11 11:51:48
E:\domain\papers\（31）Microcarrier-based MDCK cell culture system for the production of influenza H5N1 vaccines.pdf,（31）Microcarrier-based MDCK cell culture system for the production of influenza H5N1 vaccines.pdf,生命科学,Life Science,2026-02-11 11:52:06
E:\domain\papers\（32）MiR-652-3p-promotes-malignancy-and-metastasis-of_2023_Biochemical-and-Biophy.pdf,（32）MiR-652-3p-promotes-malignancy-and-metastasis-of_2023_Biochemical-and-Biophy.pdf,生命科学,Life Science,2026-02-11 11:52:25
E:\domain\papers\（33）Oocyte-quality-is-impaired-in-a-hyperandrogenic-PCOS-mouse_2023_Reproductive.pdf,（33）Oocyte-quality-is-impaired-in-a-hyperandrogenic-PCOS-mouse_2023_Reproductive.pdf,生命科学,Life Science,2026-02-11 11:52:42
E:\domain\papers\（34）PA0833-is-a-novel-virulence-factor-that-contribut_2026_International-Journal.pdf,（34）PA0833-is-a-novel-virulence-factor-that-contribut_2026_International-Journal.pdf,生命科学,Life Science,2026-02-11 11:53:06
E:\domain\papers\（35）Pharmacological-rescue-of-mutant-p53-triggers-spontaneous-_2025_Cell-Reports.pdf,（35）Pharmacological-rescue-of-mutant-p53-triggers-spontaneous-_2025_Cell-Reports.pdf,生命科学,Life Science,2026-02-11 11:53:29
E:\domain\papers\（36）Polystyrene-nanoplastics-induced-retinal-toxicity--Size---_2025_Journal-of-H.pdf,（36）Polystyrene-nanoplastics-induced-retinal-toxicity--Size---_2025_Journal-of-H.pdf,生命科学,Life Science,2026-02-11 11:53:51
E:\domain\papers\（37）Potentiation of natural killer (NK) cell activity by methanol extract of.pdf,（37）Potentiation of natural killer (NK) cell activity by methanol extract of.pdf,生命科学,Life Science,2026-02-11 11:54:11
E:\domain\papers\（38）Protein-tannic-acid-multilayer-films--A-multifunctio_2017_Journal-of-Colloid.pdf,（38）Protein-tannic-acid-multilayer-films--A-multifunctio_2017_Journal-of-Colloid.pdf,生命科学,Life Science,2026-02-11 11:54:34
E:\domain\papers\（39）Radioactive-polymeric-microspheres-as-a-novel-embol_2023_Journal-of-Drug-Del.pdf,（39）Radioactive-polymeric-microspheres-as-a-novel-embol_2023_Journal-of-Drug-Del.pdf,生命科学,Life Science,2026-02-11 11:54:58
E:\domain\papers\（3）A-GAPDH-serotonylation-system-couples-CD8--T-cell-glycolytic-_2024_Molecular.pdf,（3）A-GAPDH-serotonylation-system-couples-CD8--T-cell-glycolytic-_2024_Molecular.pdf,生命科学,Life Science,2026-02-11 11:55:29
E:\domain\papers\（40）Resolving Cell Fate Decisions during Somatic Cell Reprogramming by Single-Cell RNA-Seq.pdf,（40）Resolving Cell Fate Decisions during Somatic Cell Reprogramming by Single-Cell RNA-Seq.pdf,生命科学,Life Science,2026-02-11 11:55:56
E:\domain\papers\（41）Screening--expression-and-anti-tumor-functional-id_2024_Protein-Expression-a.pdf,（41）Screening--expression-and-anti-tumor-functional-id_2024_Protein-Expression-a.pdf,生命科学,Life Science,2026-02-11 11:56:18
E:\domain\papers\（42）Selection and characterization of vaccine strain for Enterovirus 71 vaccine development.pdf,（42）Selection and characterization of vaccine strain for Enterovirus 71 vaccine development.pdf,生命科学,Life Science,2026-02-11 11:56:37
E:\domain\papers\（43）Sequential-targeting-nanomedicine-protects-against-acute-kidney-i_2026_Bioma.pdf,（43）Sequential-targeting-nanomedicine-protects-against-acute-kidney-i_2026_Bioma.pdf,生命科学,Life Science,2026-02-11 11:57:02
E:\domain\papers\（45）Synthesis-and-pharmacological-evaluation-of-novel-resorcinol-b_2021_Biochemi.pdf,（45）Synthesis-and-pharmacological-evaluation-of-novel-resorcinol-b_2021_Biochemi.pdf,生命科学,Life Science,2026-02-11 11:57:40
E:\domain\papers\（46）The-culture-of-A549-cells-and-its-secreted-cytokine-IL-6-monitoring_2025_Tal.pdf,（46）The-culture-of-A549-cells-and-its-secreted-cytokine-IL-6-monitoring_2025_Tal.pdf,生命科学,Life Science,2026-02-11 11:58:03
E:\domain\papers\（47）Three-optimized-assays-for-the-evaluation-of-compounds-that-_2021_STAR-Proto.pdf,（47）Three-optimized-assays-for-the-evaluation-of-compounds-that-_2021_STAR-Proto.pdf,生命科学,Life Science,2026-02-11 11:58:23
E:\domain\papers\（4）Agrimoniin-ameliorates-intrapulmonary-angiogenesis-and-improves-_2025_Genes-.pdf,（4）Agrimoniin-ameliorates-intrapulmonary-angiogenesis-and-improves-_2025_Genes-.pdf,生命科学,Life Science,2026-02-11 11:58:43
E:\domain\papers\（5）Aloe-emodin-induced apoptosis in human gastric carcinoma cells.pdf,（5）Aloe-emodin-induced apoptosis in human gastric carcinoma cells.pdf,生命科学,Life Science,2026-02-11 11:59:02
E:\domain\papers\（6）Altered-miR-370-expression-in-hepatic-ischemia-reperfusion-injury-co_2017_Ge.pdf,（6）Altered-miR-370-expression-in-hepatic-ischemia-reperfusion-injury-co_2017_Ge.pdf,生命科学,Life Science,2026-02-11 11:59:21
E:\domain\papers\（7）Antiangiogenic-and-apoptotic-effects-of-benzyl-caffeate-on-hu_2022_Journal-o.pdf,（7）Antiangiogenic-and-apoptotic-effects-of-benzyl-caffeate-on-hu_2022_Journal-o.pdf,生命科学,Life Science,2026-02-11 11:59:47
E:\domain\papers\（8）Antiangiogenic-effect-of-pinobanksin-on-human-umbili_2021_Journal-of-Functio.pdf,（8）Antiangiogenic-effect-of-pinobanksin-on-human-umbili_2021_Journal-of-Functio.pdf,生命科学,Life Science,2026-02-11 12:00:13
E:\domain\papers\（9）Autophagy-promotes-directed-migration-of-HUVEC-in-respo_2022_Free-Radical-Bi.pdf,（9）Autophagy-promotes-directed-migration-of-HUVEC-in-respo_2022_Free-Radical-Bi.pdf,生命科学,Life Science,2026-02-11 12:00:37
E:\domain\papers\Monomethyl-branched-chain-fatty-acid-mediates-amino-acid-s_2021_Developmenta.pdf,Monomethyl-branched-chain-fatty-acid-mediates-amino-acid-s_2021_Developmenta.pdf,生物化学,Biochemistry,2026-02-11 10:58:10
E:\domain\papers\sample_biology.txt,sample_biology.txt,生物学,,2026-02-03 09:44:49
E:\domain\papers\The-thermogenic-activity-of-adjacent-adipocytes-fuels-the-progr_2021_Cell-Me.pdf,The-thermogenic-activity-of-adjacent-adipocytes-fuels-the-progr_2021_Cell-Me.pdf,肿瘤学,Oncology,2026-02-11 10:59:11
E:\domain\papers\Targeting-Dlat-Trpv3-pathway-by-hyperforin-elicits-non-cano_2025_Journal-of-.pdf,Targeting-Dlat-Trpv3-pathway-by-hyperforin-elicits-non-cano_2025_Journal-of-.pdf,药理学,Pharmacology,2026-02-11 10:58:48
E:\domain\papers\sample_computer_science.txt,sample_computer_science.txt,计算机科学,,2026-02-03 09:44:49
E:\domain\papers\An-explicit-material-point-and-finite-volume-sequentially-c_2024_Computers-a.pdf,An-explicit-material-point-and-finite-volume-sequentially-c_2024_Computers-a.pdf,非生命科学,Non-Life Science,2026-02-11 11:41:01
E:\domain\papers\Bayesian-machine-learning-based-method-fo_2022_Journal-of-Rock-Mechanics-and.pdf,Bayesian-machine-learning-based-method-fo_2022_Journal-of-Rock-Mechanics-and.pdf,非生命科学,Non-Life Science,2026-02-11 11:41:27
E:\domain\papers\Centrifuge-Model-Tests-on-a-Cohesive-Soil-Slope-Under-E_2011_Soils-and-Found.pdf,Centrifuge-Model-Tests-on-a-Cohesive-Soil-Slope-Under-E_2011_Soils-and-Found.pdf,非生命科学,Non-Life Science,2026-02-11 11:41:48
E:\domain\papers\（44）Silica nanoparticles as carriers of antifouling ligands for PVDF ultrafiltration membranes.pdf,（44）Silica nanoparticles as carriers of antifouling ligands for PVDF ultrafiltration membranes.pdf,非生命科学,Non-Life Science,2026-02-11 11:57:19
